Specific Service component (colloquial name),top level service,type name CF,cf_property_desc,Pattern in CF registry?,Regex from registry,registry explanation,Our own regex,Alternative regex,URL documentation,Rule in plain English,Validation error text,URL AWS console,Regex copied from external page:,Is tag?,Inserted by,can be deleted?
DMS Instance Profile,,-,-,,-,,,,,"Should begin with a letter; should contain only ASCII letters, digits, and hyphens; and shouldn’t end with a hyphen or contain two consecutive hyphens.",,,,,daniel,
DMS Data Provider,,-,-,,-,,,,,"Should begin with a letter; should contain only ASCII letters, digits, and hyphens; and shouldn’t end with a hyphen or contain two consecutive hyphens.",,,,,daniel,
Mainframe Modernization Application,,-,-,,-,,,,,"Use only alphanumeric characters, hyphens, and underscores. The maximum length is 60 characters.",,,,,daniel,
App Mesh,,AWS::AppMesh::Mesh, MeshName,,,"Required: No
Type: String
Minimum: 1
Maximum: 255
Update requires: Replacement",,,,"Alphanumeric characters, dashes, and underscores are allowed.",,,,,daniel,
AWS Cloud Map Namespace,,AWS::ServiceDiscovery::HttpNamespace,Name,,"^[!-~]{1,1024}$",,,,,"The namespace name can have up to 1,024 characters, and must start and end with a letter.
Valid characters: a-z, A-Z, 0-9, . (period), _ (underscore), and - (hyphen)",,,,,daniel,
Direct Connect Connection,,-,-,,-,,,,,"Name must contain no more than 100 characters. Valid characters are a-z, 0-9, and hyphens (–).",,,,,daniel,
Direct Connect Virtual interface,,-,-,,-,,,,,"Name must contain no more than 100 characters. Valid characters are a-z, 0-9, and hyphens (–).",,,,,daniel,
Direct Connect LAG,,-,-,,-,,,,,"Name must contain no more than 100 characters. Valid characters are a-z, 0-9, and hyphens (–).",,,,,daniel,
Direct Connect Gateway,,-,-,,-,,,,,"Name must contain no more than 100 characters. Valid characters are a-z, 0-9, and hyphens (–).",,,,,daniel,
CloudFront Function,,AWS::CloudFront::Function,Name,,"^[a-zA-Z0-9-_]{1,64}$",,,,,"Use only letters, numbers, hyphens, or underscores with no spaces.",,,,,daniel,
CloudFront Origin Access ,,-,-,,-,,,,,"The name must be unique. Valid characters: letters, numbers and most special characters. Use up to 64 characters.",,,,,daniel,
